,year,month,airline
0,1919,July,Goodyear
1,1919,August,Caproni
2,1921,August,SNETA
3,1922,March,Beijing-Han Airlines
4,1923,January,Aeromarine West Indies Airways
5,1923,May,Air Union
6,1923,August,Air Union
7,1923,September,Daimler Airway
8,1924,December,Imperial Airways
9,1925,June,KLM
10,1926,August,Air Union
11,1926,October,Air Union
12,1927,August,KLM
13,1929,June,Imperial Airways
14,1929,September,Imperial Airways
15,1929,November,Luft Hansa
16,1930,February,Air Union
17,1930,October,British civil
18,1931,March,Australian National Airways
19,1931,March,Transcontinental & Western Air
20,1933,March,Imperial Airways
21,1933,October,United Air Lines
22,1933,December,Boeing
23,1934,February,United Air Lines
24,1934,May,Boeing
25,1934,July,Air France
26,1934,October,Swissair
27,1934,December,Curtiss
28,1935,May,TWA
29,1935,October,Douglas
30,1935,December,United Air Lines
31,1936,January,American Airlines
32,1936,April,Douglas
33,1936,June,TWA
34,1936,August,Douglas
35,1936,December,Norwegian Air Lines
36,1936,December,Chicago and Southern
37,1937,January,Western Air Express
38,1937,February,Boeing
39,1937,March,TWA
40,1937,May,Douglas
41,1937,November,Zeppelin Hindenburg
42,1938,January,Northwest Airlines
43,1938,January,Lockheed
44,1938,March,Pan American World Airways
45,1938,July,TWA
46,1938,August,Douglas
47,1938,October,Pan American World Airways
48,1938,November,Douglas
49,1939,January,Northwest Airlines
50,1939,January,Lockheed
51,1939,August,Imperial Airways
52,1940,June,Aero
53,1940,August,Aero
54,1940,November,Douglas
55,1941,February,Eastern Air Lines
56,1941,October,Douglas
57,1941,October,Eastern Air Lines
58,1942,January,TWA
59,1942,January,Douglas
60,1942,March,Qantas
61,1942,October,KNILM
62,1942,December,Douglas
63,1943,January,Pan Am
64,1943,June,BOAC
65,1943,July,Douglas
66,1943,October,American Airlines
67,1944,February,American Airlines
68,1944,June,Douglas
69,1945,January,Pan Am
70,1945,January,American Airlines
71,1945,January,Douglas
72,1945,February,Australian National Airways
73,1945,July,American Airlines
74,1945,October,Eastern Air Lines
75,1945,November,Douglas
76,1946,January,Douglas
77,1946,March,Australian National Airways
78,1946,July,TWA
79,1946,August,Lockheed
80,1946,October,British European Airways
81,1946,November,Douglas
82,1946,December,Douglas
83,1946,December,KLM
84,1946,December,Douglas
85,1947,January,BOAC
86,1947,January,Douglas
87,1947,January,BOAC
88,1947,January,Douglas
89,1947,February,Eastern Air Lines
90,1947,April,Douglas
91,1947,May,Spencer Airways
92,1947,May,Douglas
93,1947,May,ČSA
94,1947,June,KLM
95,1947,June,Douglas
96,1947,August,Douglas
97,1947,August,Avianca
98,1947,October,Douglas
99,1947,October,Delta Air Lines
100,1947,December,Douglas
101,1948,January,Airline Transport Carriers
102,1948,January,Douglas
103,1948,March,BSAA
104,1948,March,Sabena
105,1948,March,Delta Air Lines
106,1948,April,Douglas
107,1948,April,Northwest Airlines
108,1948,April,Douglas
109,1948,May,British European Airways
110,1948,June,Pan Am
111,1948,July,Lockheed
112,1948,July,British European Airways
113,1948,August,Sabena
114,1948,August,Douglas
115,1948,September,Douglas
116,1948,October,United Air Lines
117,1948,October,Douglas
118,1948,October,Scandinavian Airlines System
119,1948,December,Douglas
120,1949,January,BSAA
121,1949,February,British European Airways
122,1949,March,Douglas
123,1949,May,Lockheed
124,1949,June,Strato-Freight
125,1949,July,Curtiss
126,1949,July,Curtiss
127,1949,August,Douglas
128,1949,September,Standard Air Lines
129,1949,September,Curtiss
130,1949,October,British European Airways
131,1949,November,Douglas
132,1949,November,Canadian Pacific Air Lines
133,1949,November,Douglas
134,1949,December,Mexicana de Aviacion
135,1950,January,Lisunov Li-2
136,1950,March,Airflight
137,1950,March,Douglas
138,1950,June,Australian National Airways
139,1950,June,Douglas
140,1950,July,Panair do Brasil
141,1950,August,Lockheed
142,1950,October,TWA
143,1950,November,Lockheed
144,1950,November,Lockheed
145,1951,January,National Airlines
146,1951,March,Douglas
147,1951,March,Air Iceland
148,1951,April,Douglas
149,1951,June,Air Transport Charter
150,1951,June,Douglas
151,1951,July,Cubana de Aviación
152,1951,July,Douglas
153,1951,August,Pan Am
154,1951,November,Lockheed
155,1951,December,United Air Lines
156,1951,December,Douglas
157,1951,December,Douglas
158,1952,January,Aer Lingus
159,1952,January,Douglas
160,1952,January,American Airlines
161,1952,February,National Airlines
162,1952,March,Douglas
163,1952,March,Air France
164,1952,April,KLM
165,1952,April,Douglas
166,1952,April,Japan Air Lines
167,1952,June,Northwest Airlines
168,1952,August,Pan Am
169,1952,October,Douglas
170,1952,December,Pan Am
171,1953,January,British European Airways
172,1953,January,Associated Air Transport
173,1953,February,Curtiss
174,1953,February,Skyways
175,1953,March,Avro York
176,1953,March,National Airlines
177,1953,April,Douglas
178,1953,May,Avro Lincoln
179,1953,May,Transocean Air Lines
180,1953,July,Douglas
181,1953,August,Western Air Lines
182,1953,September,Douglas
183,1953,September,BOAC
184,1953,October,Delta Air Lines
185,1953,October,Douglas
186,1954,January,BOAC
187,1954,February,Western Air Lines
188,1954,March,BOAC
189,1954,April,Lockheed
190,1954,April,South African Airways
191,1954,June,BOAC
192,1954,July,Trans-Canada Air Lines
