year,month,airline
1919,July,Goodyear
1919,August,Caproni
1921,August,SNETA
1922,March,Beijing-Han Airlines
1923,January,Aeromarine West Indies Airways
1923,May,Air Union
1923,August,Air Union
1923,September,Daimler Airway
1924,December,Imperial Airways
1925,June,KLM
1926,August,Air Union
1926,October,Air Union
1927,August,KLM
1929,June,Imperial Airways
1929,September,Imperial Airways
1929,November,Luft Hansa
1930,February,Air Union
1930,October,British civil
1931,March,Australian National Airways
1931,March,Transcontinental & Western Air
1933,March,Imperial Airways
1933,October,United Air Lines
1933,December,Boeing
1934,February,United Air Lines
1934,May,Boeing
1934,July,Air France
1934,October,Swissair
1934,December,Curtiss
1935,May,TWA
1935,October,Douglas
1935,December,United Air Lines
1936,January,American Airlines
1936,April,Douglas
1936,June,TWA
1936,August,Douglas
1936,December,Norwegian Air Lines
1936,December,Chicago and Southern
1937,January,Western Air Express
1937,February,Boeing
1937,March,TWA
1937,May,Douglas
1937,November,Zeppelin Hindenburg
1938,January,Northwest Airlines
1938,January,Lockheed
1938,March,Pan American World Airways
1938,July,TWA
1938,August,Douglas
1938,October,Pan American World Airways
1938,November,Douglas
1939,January,Northwest Airlines
1939,January,Lockheed
1939,August,Imperial Airways
1940,June,Aero
1940,August,Aero
1940,November,Douglas
1941,February,Eastern Air Lines
1941,October,Douglas
1941,October,Eastern Air Lines
1942,January,TWA
1942,January,Douglas
1942,March,Qantas
1942,October,KNILM
1942,December,Douglas
1943,January,Pan Am
1943,June,BOAC
1943,July,Douglas
1943,October,American Airlines
1944,February,American Airlines
1944,June,Douglas
1945,January,Pan Am
1945,January,American Airlines
1945,January,Douglas
1945,February,Australian National Airways
1945,July,American Airlines
1945,October,Eastern Air Lines
1945,November,Douglas
1946,January,Douglas
1946,March,Australian National Airways
1946,July,TWA
1946,August,Lockheed
1946,October,British European Airways
1946,November,Douglas
1946,December,Douglas
1946,December,KLM
1946,December,Douglas
1947,January,BOAC
1947,January,Douglas
1947,January,BOAC
1947,January,Douglas
1947,February,Eastern Air Lines
1947,April,Douglas
1947,May,Spencer Airways
1947,May,Douglas
1947,May,ČSA
1947,June,KLM
1947,June,Douglas
1947,August,Douglas
1947,August,Avianca
1947,October,Douglas
1947,October,Delta Air Lines
1947,December,Douglas
1948,January,Airline Transport Carriers
1948,January,Douglas
1948,March,BSAA
1948,March,Sabena
1948,March,Delta Air Lines
1948,April,Douglas
1948,April,Northwest Airlines
1948,April,Douglas
1948,May,British European Airways
1948,June,Pan Am
1948,July,Lockheed
1948,July,British European Airways
1948,August,Sabena
1948,August,Douglas
1948,September,Douglas
1948,October,United Air Lines
1948,October,Douglas
1948,October,Scandinavian Airlines System
1948,December,Douglas
1949,January,BSAA
1949,February,British European Airways
1949,March,Douglas
1949,May,Lockheed
1949,June,Strato-Freight
1949,July,Curtiss
1949,July,Curtiss
1949,August,Douglas
1949,September,Standard Air Lines
1949,September,Curtiss
1949,October,British European Airways
1949,November,Douglas
1949,November,Canadian Pacific Air Lines
1949,November,Douglas
1949,December,Mexicana de Aviacion
1950,January,Lisunov Li-2
1950,March,Airflight
1950,March,Douglas
1950,June,Australian National Airways
1950,June,Douglas
1950,July,Panair do Brasil
1950,August,Lockheed
1950,October,TWA
1950,November,Lockheed
1950,November,Lockheed
1951,January,National Airlines
1951,March,Douglas
1951,March,Air Iceland
1951,April,Douglas
1951,June,Air Transport Charter
1951,June,Douglas
1951,July,Cubana de Aviación
1951,July,Douglas
1951,August,Pan Am
1951,November,Lockheed
1951,December,United Air Lines
1951,December,Douglas
